question_id,section,module,original_question_number,jev_choice,correct_choice,correct,jev_answer_text,correct_answer_text,confidence,selected_option_probability,correct_option_probability,explanation_if_wrong
rw_m1_q01,Reading and Writing,1,1,A,A,True,Evidence,Evidence,1,1,1,
rw_m1_q02,Reading and Writing,1,2,B,B,True,fragile,fragile,1,1,1,
rw_m1_q03,Reading and Writing,1,3,B,B,True,impending,impending,0.98,0.98,0.98,
rw_m1_q04,Reading and Writing,1,4,D,D,True,exploited,exploited,0.98,0.98,0.98,
rw_m1_q05,Reading and Writing,1,5,B,B,True,ameliorate,ameliorate,1,1,1,
rw_m1_q06,Reading and Writing,1,6,D,D,True,To explain why the narrator thinks she might make the basketball team,To explain why the narrator thinks she might make the basketball team,1,1,1,
rw_m1_q07,Reading and Writing,1,7,B,B,True,To explain that Spanish-language newspapers thrived in Texas and especially in El Paso during the late 1800s,To explain that Spanish-language newspapers thrived in Texas and especially in El Paso during the late 1800s,1,1,1,
rw_m1_q08,Reading and Writing,1,8,C,C,True,To indicate why astrobiologists choose to conduct research in the Atacama Desert,To indicate why astrobiologists choose to conduct research in the Atacama Desert,1,1,1,
rw_m1_q09,Reading and Writing,1,9,B,B,True,It explains why it is challenging to influence transit ridership solely by altering characteristics of a transit system.,It explains why it is challenging to influence transit ridership solely by altering characteristics of a transit system.,0.99,0.99,0.99,
rw_m1_q10,Reading and Writing,1,10,B,B,True,"It introduces an unresolved scientific question, presents a research team’s hypothesis pertaining to that question, and then describes an observation made by the team that conflicts with that hypothesis.","It introduces an unresolved scientific question, presents a research team’s hypothesis pertaining to that question, and then describes an observation made by the team that conflicts with that hypothesis.",0.98,0.98,0.98,
rw_m1_q11,Reading and Writing,1,11,D,D,True,All the marsquakes started from the same location on the planet.,All the marsquakes started from the same location on the planet.,1,1,1,
rw_m1_q12,Reading and Writing,1,12,A,A,True,Maya civilization acquired the use of zero from the Olmec civilization.,Maya civilization acquired the use of zero from the Olmec civilization.,1,1,1,
rw_m1_q13,Reading and Writing,1,13,D,D,True,"“When [the banker] got home he lay on his bed, but his tears and emotion kept him for hours from sleeping.”","“When [the banker] got home he lay on his bed, but his tears and emotion kept him for hours from sleeping.”",1,1,1,
rw_m1_q15,Reading and Writing,1,15,C,C,True,"“I’m really getting quite fond of the big room, all but that horrid [wall]paper.”","“I’m really getting quite fond of the big room, all but that horrid [wall]paper.”",0.98,0.99,0.99,
rw_m1_q17,Reading and Writing,1,17,A,A,True,it can’t be concluded that the impact that made the crater was connected to the beginning of the Younger Dryas.,it can’t be concluded that the impact that made the crater was connected to the beginning of the Younger Dryas.,1,1,1,
rw_m1_q18,Reading and Writing,1,18,B,B,True,has been preserved in certain mammal species because it benefits their immune systems.,has been preserved in certain mammal species because it benefits their immune systems.,0.99,0.99,0.99,
rw_m1_q19,Reading and Writing,1,19,A,A,True,the Aztecs would have disputed the idea that the morality of an individual’s actions can be assessed by appealing to standards of behavior that are independent of the individual’s social circumstances.,the Aztecs would have disputed the idea that the morality of an individual’s actions can be assessed by appealing to standards of behavior that are independent of the individual’s social circumstances.,0.98,0.98,0.98,
rw_m1_q20,Reading and Writing,1,20,C,C,True,this,this,0.95,0.97,0.97,
rw_m1_q21,Reading and Writing,1,21,A,A,True,used,used,0.97,0.97,0.97,
rw_m1_q22,Reading and Writing,1,22,D,D,True,ensures,ensures,0.97,0.98,0.98,
rw_m1_q23,Reading and Writing,1,23,B,B,True,"hands between the two antennas,","hands between the two antennas,",0.75,0.81,0.81,
rw_m1_q24,Reading and Writing,1,24,D,D,True,represent,represent,0.69,0.77,0.77,
rw_m1_q25,Reading and Writing,1,25,A,B,False,artist—,artist,0.73,0.79,0.1,"No punctuation belongs between the identifying description ""French portrait artist"" and the name Marie-Denise Villers."
rw_m1_q26,Reading and Writing,1,26,B,B,True,"described, from hair to grass to sculptures—","described, from hair to grass to sculptures—",0.5,0.62,0.62,
rw_m1_q27,Reading and Writing,1,27,D,D,True,"As a result,","As a result,",1,1,1,
rw_m1_q28,Reading and Writing,1,28,D,D,True,"though,","though,",0.93,0.95,0.95,
rw_m1_q29,Reading and Writing,1,29,B,B,True,"Conversely,","Conversely,",1,1,1,
rw_m1_q30,Reading and Writing,1,30,B,D,False,"However,","Hence,",0.83,0.87,0.09,"The mistaken assumption follows from the shell appearing external. ""Hence,"" introduces that consequence; ""However,"" would incorrectly signal a contrast at that point."
